previous_answer,question,answers,answer_id,data_type,data_url
0,"Салем.Айжулдыз Адайбекованың психолог ботына қош келдің!Бұл психолог сендегі бар қазіргі қиындықтарға анализ жасап, жеңілдетуге арналған нұсқаулықтар береді! ","Психоботпен сырласу,Біз жайлы информация,өзіме анализ","3,1,2",photo,https://ibb.co/Rh1015b
1,"Бұл психолог-боттың мақсаты адамдардың проблемаларының шешімін тезірек тауып, оны проработка жасап, өзіңді жаңа тұлға ретінде қалыптастыру. Депрессияны алдын алып, өмірге құштар болуды үйрету",Артқа,0,photo,https://ibb.co/5KNtmr0
2,"Бұл психолог-боттың мақсаты адамдардың проблемаларының шешімін тезірек тауып, оны проработка жасап, өзіңді жаңа тұлға ретінде қалыптастыру. Депрессияны алдын алып, өмірге құштар болуды үйрету",Кері қайту,0,photo,https://ibb.co/Rh1015b
3,Қазір состояние қалай?,"Жаксы,норм,жаман,нашар","4,4,5,5",photo,https://ibb.co/Rh1015b
4,1-10ға дейін нешеге бал бересің көңіл күйіңе?,"1-3,4-7,8-10",3,photo,https://ibb.co/Rh1015b
5,не себепты,"отбасы мәселесі, жұмыста бизнесте проблемалар, отношениеде қиындықтар, денсаулық мәселесі,Ент экзамен қорқам","6,7,8,9,9,9",photo,https://ibb.co/Rh1015b
6,Отбасында қандай проблема?,ата-ана түсінбейді,9,photo,https://ibb.co/Rh1015b
7,жұмысында қандай қиындық?,"банкрот болудан қорқам,кредит жаба алмаймын ба деп қорқамын 😨",9,photo,https://ibb.co/Rh1015b
8,отношениеде қандай қиындық,"жігітіммен айырылыстым,қызыммен айырылыстым",9,photo,https://ibb.co/Rh1015b
9,осы медитацияны тыңдап көңіл күйіңді бір сергітіп ал,Медитация жасап болдым,10,photo,https://ibb.co/Rh1015b
10,медитациядан кейін состояние калай болды?,"1-3,4-7,8-10","0,0,0",photo,https://ibb.co/Rh1015b